,user_id,username,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,type,ntrial,timestamp
0,0,User_1,0.03286743,-0.01139832,-0.9894409,0.001340075,-0.004726049,0.0006528652,0,3,2018-03-15 21:49:02.853
1,0,User_1,0.03627014,-0.6468658,-0.7498627,0.001340075,-0.004726049,0.0006528652,0,3,2018-03-15 21:49:02.876
2,0,User_1,0.03627014,-0.6468658,-0.7498627,0.001340075,-0.004726049,0.0006528652,0,3,2018-03-15 21:49:02.903
3,0,User_1,-0.06100464,-0.69104,-0.7489166,0.3201326,0.03914909,-0.2348518,0,3,2018-03-15 21:49:03.052
4,0,User_1,-0.1404266,-0.7467651,-0.741333,0.3814135,0.04636359,-0.3431333,0,3,2018-03-15 21:49:03.074
5,0,User_1,-0.2346954,-0.8292847,-0.7498627,0.3879891,0.08791299,-0.4829018,0,3,2018-03-15 21:49:03.101
6,0,User_1,-0.2988586,-0.7424774,-0.8658752,0.328526,0.1397454,-0.5655,0,3,2018-03-15 21:49:03.127
7,0,User_1,-0.1772461,-0.8015747,-0.851532,0.4237002,0.2188926,-0.3052634,0,3,2018-03-15 21:49:03.153
8,0,User_1,0.4586029,-0.6865692,-0.589798,-1.428153,3.486504,-3.275677,0,3,2018-03-15 21:49:03.180
9,0,User_1,-1.403992,-0.130188,-0.7647552,-1.9191,-0.9155353,-0.3272648,0,3,2018-03-15 21:49:03.204
10,0,User_1,-0.5521851,-0.2761383,-0.5400848,1.94671,2.708478,-1.046785,0,3,2018-03-15 21:49:03.232
11,0,User_1,0.04370117,-0.958847,-0.7702789,2.154262,0.9688095,0.1223404,0,3,2018-03-15 21:49:03.256
12,0,User_1,0.1269379,-0.8487549,-0.6248169,0.9489203,0.8729598,-0.04742255,0,3,2018-03-15 21:49:03.282
13,0,User_1,0.0652771,-0.5170441,-0.5893707,0.5718386,1.085051,-0.2171674,0,3,2018-03-15 21:49:03.312
14,0,User_1,0.1500854,-0.7649994,-0.6203918,0.8694098,1.005566,-0.01075616,0,3,2018-03-15 21:49:03.335
15,0,User_1,0.2674866,-0.7075806,-0.4692841,0.7816637,0.9177099,0.0482848,0,3,2018-03-15 21:49:03.360
16,0,User_1,0.2376862,-0.5796509,-0.4068604,0.02238876,0.7024277,0.04629062,0,3,2018-03-15 21:49:03.385
17,0,User_1,0.3675079,-0.7334137,-0.5632782,0.05903839,0.7222916,0.1317746,0,3,2018-03-15 21:49:03.412
18,0,User_1,0.3188629,-0.8097992,-0.5969238,0.02569694,0.5022312,0.110819,0,3,2018-03-15 21:49:03.435
19,0,User_1,0.3317871,-0.9154053,-0.7292938,-0.2235611,0.2631959,0.1565482,0,3,2018-03-15 21:49:03.460
20,0,User_1,0.7084961,-0.7894745,-0.5028381,-0.9983753,0.694427,-1.32616,0,3,2018-03-15 21:49:03.485
21,0,User_1,0.1792755,-0.7379608,-0.7095795,-0.8453927,0.01572632,-0.1945167,0,3,2018-03-15 21:49:03.512
22,0,User_1,0.3684845,-0.5513611,-0.5848541,-0.6438463,-0.2194933,0.1589615,0,3,2018-03-15 21:49:03.536
23,0,User_1,0.4613342,-0.7450409,-0.5956573,-0.212804,0.2815908,-0.1870843,0,3,2018-03-15 21:49:03.561
